PM2.5,CO,SO2,NO2,PM10,No,year,month,day,hour,O3,TEMP,PRES,DEWP,RAIN,WSPM,wd,station
4.0,300.0,4.0,7.0,4.0,1.0,2010.0,3.0,1.0,0.0,77.0,-0.7,1020.0,-18.8,0.0,4.4,NNW,Aotizhongxin
8.0,300.0,4.0,7.0,8.0,2.0,2010.0,3.0,1.0,1.0,77.0,-1.1,1020.0,-18.2,0.0,4.7,N,Aotizhongxin
7.0,300.0,5.0,10.0,7.0,3.0,2010.0,3.0,1.0,2.0,73.0,-1.1,1020.0,-18.2,0.0,5.6,NNW,Aotizhongxin
6.0,300.0,11.0,11.0,6.0,4.0,2010.0,3.0,1.0,3.0,72.0,-1.4,1020.0,-19.4,0.0,3.1,NW,Aotizhongxin
3.0,300.0,12.0,12.0,3.0,5.0,2010.0,3.0,1.0,4.0,72.0,-2.0,1030.0,-19.5,0.0,2.0,N,Aotizhongxin
5.0,400.0,18.0,18.0,5.0,6.0,2010.0,3.0,1.0,5.0,66.0,-2.2,1030.0,-19.6,0.0,3.7,N,Aotizhongxin
3.0,500.0,18.0,32.0,3.0,7.0,2010.0,3.0,1.0,6.0,50.0,-2.6,1030.0,-19.1,0.0,2.5,NNE,Aotizhongxin
3.0,500.0,19.0,41.0,6.0,8.0,2010.0,3.0,1.0,7.0,43.0,-1.6,1030.0,-19.1,0.0,3.8,NNW,Aotizhongxin
3.0,500.0,16.0,43.0,6.0,9.0,2010.0,3.0,1.0,8.0,45.0,0.1,1030.0,-19.2,0.0,4.1,NNW,Aotizhongxin
3.0,400.0,12.0,28.0,8.0,10.0,2010.0,3.0,1.0,9.0,59.0,1.2,1030.0,-19.3,0.0,2.6,N,Aotizhongxin
3.0,400.0,9.0,12.0,6.0,11.0,2010.0,3.0,1.0,10.0,72.0,1.9,1030.0,-19.4,0.0,3.6,NNW,Aotizhongxin
3.0,400.0,9.0,14.0,6.0,12.0,2010.0,3.0,1.0,11.0,71.0,2.9,1030.0,-20.5,0.0,3.7,N,Aotizhongxin
3.0,300.0,7.0,13.0,6.0,13.0,2010.0,3.0,1.0,12.0,74.0,3.9,1030.0,-19.7,0.0,5.1,NNW,Aotizhongxin
3.0,400.0,7.0,12.0,6.0,14.0,2010.0,3.0,1.0,13.0,76.0,5.3,1030.0,-19.3,0.0,4.3,NW,Aotizhongxin
6.0,400.0,7.0,11.0,9.0,15.0,2010.0,3.0,1.0,14.0,77.0,6.0,1030.0,-19.6,0.0,4.4,NW,Aotizhongxin
8.0,400.0,7.0,14.0,15.0,16.0,2010.0,3.0,1.0,15.0,76.0,6.2,1030.0,-18.6,0.0,2.8,NNE,Aotizhongxin
9.0,400.0,9.0,13.0,19.0,17.0,2010.0,3.0,1.0,16.0,76.0,5.9,1030.0,-18.1,0.0,3.9,NNW,Aotizhongxin
10.0,400.0,11.0,15.0,23.0,18.0,2010.0,3.0,1.0,17.0,74.0,4.3,1030.0,-18.7,0.0,2.8,NNE,Aotizhongxin
11.0,500.0,8.0,20.0,20.0,19.0,2010.0,3.0,1.0,18.0,70.0,3.1,1030.0,-18.4,0.0,2.1,NNE,Aotizhongxin
8.0,500.0,12.0,30.0,14.0,20.0,2010.0,3.0,1.0,19.0,60.0,2.3,1030.0,-18.4,0.0,2.8,N,Aotizhongxin
11.0,600.0,13.0,33.0,17.0,21.0,2010.0,3.0,1.0,20.0,55.0,1.7,1030.0,-17.3,0.0,2.1,N,Aotizhongxin
12.0,500.0,16.0,35.0,18.0,22.0,2010.0,3.0,1.0,21.0,50.0,0.6,1030.0,-16.7,0.0,0.8,ENE,Aotizhongxin
15.0,700.0,21.0,57.0,19.0,23.0,2010.0,3.0,1.0,22.0,32.0,0.9,1030.0,-17.4,0.0,1.8,ENE,Aotizhongxin
24.0,600.0,26.0,54.0,24.0,24.0,2010.0,3.0,1.0,23.0,36.0,-0.2,1030.0,-17.4,0.0,1.4,ENE,Aotizhongxin
